,Player,Matches,Runs,Bat_ave,Wkts,Bowl_ave
243,CH Morris (SA),23,133,14.77,34,20.5
244,DJM Short (AUS),23,642,30.56,3,50.34
245,V Sibanda (ZIM),23,459,20.86,0,0.0
246,MP Stoinis (AUS),23,236,21.45,9,35.44
247,Syed Aziz (MAS),23,637,35.38,4,46.75
248,TP Ura (PNG),23,671,37.28,0,0.0
249,Amjad Javed (UAE),22,271,18.06,33,16.95
250,Aqib Ilyas (OMA),22,408,22.66,2,29.5
251,AG Cremer (ZIM),22,64,5.81,28,19.31
252,A Dananjaya (SL),22,49,6.12,22,28.19
253,CR Ervine (ZIM),22,471,22.42,0,0.0
254,Fitri Sham (MAS),22,52,6.5,21,23.56
255,JEC Franklin (NZ),22,273,21.0,11,18.19
256,Iqbal Hussain (QAT),22,28,5.6,38,15.89
257,KM Jarvis (ZIM),22,55,7.85,28,23.75
258,BMAJ Mendis (SL),22,207,18.81,12,20.75
259,Mohammad Irfan (PAK),22,4,0.0,0,0.0
260,Mohammed Rizlan (QAT),22,276,25.1,0,0.0
261,Mohammed Nadeem (QAT),22,5,0.0,0,0.0
262,Muhammad Tanveer (QAT),22,600,37.5,2,43.0
263,Rameez Shahzad (UAE),22,449,24.94,0,0.0
264,TAM Siriwardana (SL),22,275,17.19,8,25.75
265,Sultan Ahmed (UAE),22,63,7.87,21,20.28
266,P Utseya (ZIM),22,58,8.28,10,56.9
267,Zahoor Khan (UAE),22,10,0.0,0,0.0
268,KJ Abbott (SA),21,23,11.5,26,22.27
269,Abdur Razzak (BAN),21,30,0.0,0,0.0
270,DS Airee (NEP),21,330,20.62,0,0.0
271,TL Chatara (ZIM),21,15,0.0,0,0.0
272,AR Cusack (IRE),21,74,14.8,18,21.83
273,JH Davey (SCOT),21,83,16.6,24,25.4
274,ST Finn (ENG),21,14,0.0,0,0.0
275,Kamran Khan (QAT),21,630,31.5,0,0.0
276,FJ Klaassen (NED),21,33,5.5,20,29.05
277,Kuldeep Yadav (IND),21,20,20.0,39,13.76
278,S Lamichhane (ICC/NEP),21,24,0.0,0,0.0
279,PJ Moor (ZIM),21,364,24.27,0,0.0
280,LE Plunkett (ENG),21,42,6.0,24,24.58
281,KW Richardson (AUS),21,9,0.0,0,0.0
282,Tanwir Afzal (HKG),21,219,13.68,19,26.78
283,Virandeep Singh (MAS),21,564,28.2,3,45.0
284,Anshuman Rath (HKG),20,321,18.88,5,52.8
285,A Bohara (NEP),20,17,4.25,20,21.8
286,TT Bresnan (ENG),20,166,18.44,15,36.88
287,Kamran Akmal (PAK),20,283,16.64,0,0.0
288,MJ Lumb (ENG),20,415,21.84,0,0.0
289,BAW Mendis (SL),20,1,0.0,0,0.0
290,KD Mills (NZ),20,11,11.0,18,29.27
291,Mohammad Shahzad (UAE),20,281,15.61,13,31.61
292,A Nehra (IND),20,6,0.0,0,0.0
293,AA Obanda (KENYA),20,255,13.42,0,0.0
294,KMA Paul (WI),20,168,21.0,24,26.8
295,S Prasanna (SL),20,214,15.28,10,35.9
296,AM Rahane (IND),20,375,20.83,0,0.0
297,Sohaib Maqsood (PAK),20,221,13.81,0,0.0
298,HT Tector (IRE),20,364,26.0,0,0.0
299,Usman Ghani (AFG),20,463,24.36,0,0.0
300,D Wiese (SA),20,92,13.14,24,20.7
301,Zaheer Ibrahim (QAT),20,251,16.73,0,0.0
302,DM Bravo (WI),19,340,21.25,0,0.0
303,RP Burl (ZIM),19,295,24.58,11,27.81
304,PVD Chameera (SL),19,31,7.75,16,35.88
305,BD Glover (NED),19,2,2.0,28,16.0
306,Khurram Nawaz (OMA),19,216,19.62,0,0.0
307,AR McBrine (IRE),19,73,12.16,13,16.61
308,DJ Malan (ENG),19,855,53.44,1,27.0
309,SS McKechnie (HKG),19,215,21.5,0,0.0
310,Mehran Khan (OMA),19,117,10.63,9,24.66
311,AF Milne (NZ),19,18,0.0,0,0.0
312,Mirwais Ashraf (AFG),19,77,9.62,13,26.38
313,JA Morkel (SA),19,129,16.12,8,32.0
314,Mujeeb Ur Rahman (AFG),19,8,0.0,0,0.0
315,RJ Nicol (NZ),19,317,18.64,5,31.6
316,Pavandeep Singh (MAS),19,5,5.0,25,18.2
317,N Pokana (PNG),19,20,10.0,19,17.27
318,AD Poynter (IRE),19,219,19.9,0,0.0
319,Aminuddin Ramly (MAS),19,199,15.3,0,0.0
320,B Stanlake (AUS),19,9,0.0,0,0.0
321,GP Swann (ENG),19,62,20.66,21,20.19
322,Taskin Ahmed (BAN),19,29,9.66,12,36.5
323,CD Wallace (SCOT),19,146,18.25,0,0.0
324,CAK Walton (WI),19,225,13.23,0,0.0
325,MR Adair (IRE),18,158,14.36,27,16.11
326,Ahmed Faiz (MAS),18,436,27.25,0,0.0
327,Awais Malik (QAT),18,17,0.0,0,0.0
328,DAJ Bracewell (NZ),18,121,24.2,20,21.84
329,TLW Cooper (NED),18,404,28.84,3,44.0
330,Haseeb Amjad (HKG),18,45,11.25,24,18.88
331,GSNFG Jayasuriya (SL),18,241,15.06,3,71.0
332,NR Kumar (CAN),18,434,31.0,7,22.84
333,CA Lynn (AUS),18,291,19.4,0,0.0
334,Nasir Jamshed (PAK),18,363,21.34,0,0.0
335,E Otieno (KENYA),18,26,0.0,0,0.0
336,KH Pandya (IND),18,121,24.2,14,38.4
337,SR Patel (ENG),18,189,15.75,7,45.84
338,SP Patil (UAE),18,187,14.38,0,0.0
339,B Regmi (NEP),18,24,3.42,25,16.2
340,MJG Rippon (NED),18,216,30.84,15,20.66
341,Shaheen Shah Afridi (PAK),18,10,0.0,0,0.0
342,Shahid Wasif (HKG),18,261,20.06,0,0.0
343,WU Tharanga (SL),18,293,17.23,0,0.0
344,LL Tsotsobe (SA),18,1,0.0,0,0.0
345,HE van der Dussen (SA),18,542,38.72,0,0.0
346,Anwar Arudin (MAS),17,168,9.88,0,0.0
347,JJ Atkinson (HKG),17,309,22.06,0,0.0
